Restaurant,Menu_Item,Calories,Fat,Carbs,Fiber,Protein
Starbucks,Chonga Bagel,300,5,50,3,12
Starbucks,8-Grain Roll,380,6,70,7,10
Starbucks,Almond Croissant,410,22,45,3,10
Starbucks,Apple Fritter,460,23,56,2,7
Starbucks,Banana Nut Bread,420,22,52,2,6
Starbucks,Blueberry Muffin with Yogurt and Honey,380,16,53,1,6
Starbucks,Blueberry Scone,420,17,61,2,5
Starbucks,Butter Croissant,240,12,28,1,5
Starbucks,Butterfly Cookie,350,22,38,0,2
Starbucks,Cheese Danish,320,16,36,1,8
Starbucks,Chewy Chocolate Cookie,170,5,30,2,2
Starbucks,Chocolate Chip Cookie,310,15,42,2,4
Starbucks,Chocolate Chunk Muffin,440,21,60,2,7
Starbucks,Chocolate Croissant,330,18,38,1,6
Starbucks,Chocolate Hazelnut Croissant,390,22,43,2,7
Starbucks,Chocolate Marble Loaf Cake,490,24,64,2,6
Starbucks,Cinnamon Morning Bun,390,15,56,2,8
Starbucks,Cinnamon Raisin Bagel,270,1,58,3,9
Starbucks,Classic Coffee Cake,390,16,57,1,5
Starbucks,Cookie Butter Bar,360,23,36,0,2
Starbucks,Cranberry Orange Scone,420,15,64,1,6
Starbucks,Devil's Food Doughnut,430,23,53,2,5
Starbucks,Double Chocolate Brownie,410,24,46,3,6
Starbucks,Double Chocolate Chunk Brownie,490,28,55,3,7
Starbucks,Double Chocolate Loaf Cake,440,23,54,3,5
Starbucks,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3
Starbucks,Everything Bagel with Cheese,290,3.5,53,2,11
Starbucks,Frappuccino® Cookie Straw,90,3,14,0,1
Starbucks,French Toast - Bantam Bagels (2 Pack),200,8,30,0,6
Starbucks,Gluten-Free Marshmallow Dream Bar,240,5,45,0,2
Starbucks,Ice Cream Cone Sugar Cookie,250,14,29,1,3
Starbucks,Iced Lemon Pound Cake,470,20,68,1,6
Starbucks,Michigan Cherry Oat Bar,310,10,47,2,3
Starbucks,Multigrain Bagel,350,4,64,8,17
Starbucks,Oatmeal Cookie,290,12,40,3,5
Starbucks,Octopus Cookie,330,18,39,1,3
Starbucks,Old-Fashioned Glazed Doughnut,480,27,56,1,5
Starbucks,Peanut butter cup cookie,360,21,36,3,8
Starbucks,Pecan Tart,330,18,39,1,4
Starbucks,Petite Vanilla Bean Scone,120,4.5,18,0,2
Starbucks,Plain Bagel,280,1.5,56,2,9
Starbucks,Pumpkin Bread,410,15,63,2,6
Starbucks,Raspberry Swirl Loaf Cake,420,17,61,1,6
Starbucks,Raspberry Whoopie Pie,360,18,45,1,3
Starbucks,Reduced-Fat Cinnamon Swirl Coffee Cake,370,9,67,2,5
Starbucks,S'mores Bar,330,17,44,1,2
Starbucks,S'mores Bar Multipack,330,17,44,1,2
Starbucks,Sprouted Grain Vegan Bagel,330,6,57,7,12
Starbucks,Strawberry Cake Pop,180,9,23,0,2
Starbucks,The Classic - Bantam Bagels (2 Pack),200,8,28,0,6
Starbucks,Toffeedoodle,300,13,44,1,3
Starbucks,Vanilla Bean Whoopie Pie,360,18,45,1,3
Starbucks,Vermont Maple Walnut Muffin,390,21,45,2,6
Starbucks,Volpi™ Pepperoni & Tomato Savory Foldover,270,14,27,2,10
Starbucks,Strawberries & Jam Sandwich,600,25,80,10,19
Starbucks,Burrata & Basil Pesto Small Sandwich,300,14,34,2,11
Starbucks,Cage-Free Eggs & Seasoned Grains Side Salad,360,18,33,3,17
Starbucks,Cauliflower Tabbouleh Side Salad,130,12,7,3,2
Starbucks,Cubano Sandwich,430,23,34,3,21
Starbucks,Farmers' Market Protein Box,470,29,29,4,21
Starbucks,Garden Greens & Shaved Parmesan Side Salad,170,13,9,2,7
Starbucks,Green Goddess Avocado Salad,620,37,62,10,13
Starbucks,Herbed Chicken & Fig Spread Small Sandwich,300,8,43,2,19
Starbucks,Honey BBQ Sriracha Chicken Sandwich,360,7,52,3,22
Starbucks,Roasted Carrot & Kale Side Salad,440,26,44,7,10
Starbucks,Roasted Turkey & Dill Havarti Sandwich,600,32,47,6,32
Starbucks,Seared Steak & Cheddar Sandwich,530,29,44,2,23
Starbucks,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18,31,1,16
