,volunteer,no_odour_before,volunt_odour_before,activated_before,percent_act_person_before,no_odour_after,volunt_odour_after,activated_after,percent_act_person_after,act_diff
0,subj1,7,9,16,0.5625,2,12,14,0.8571428571428571,0.2946428571428571
1,subj2,26,7,33,0.21212121212121213,24,9,33,0.2727272727272727,0.06060606060606058
2,subj3,5,10,15,0.6666666666666666,2,25,27,0.9259259259259259,0.2592592592592593
3,subj4,3,7,10,0.7,0,11,11,1.0,0.30000000000000004
4,subj5,2,8,10,0.8,1,11,12,0.9166666666666666,0.11666666666666659
5,subj6,15,15,30,0.5,3,24,27,0.8888888888888888,0.38888888888888884
6,subj7,13,2,15,0.13333333333333333,13,13,26,0.5,0.3666666666666667
7,subj8,8,9,17,0.5294117647058824,13,12,25,0.48,-0.04941176470588238
8,subj9,13,10,23,0.43478260869565216,17,10,27,0.37037037037037035,-0.06441223832528181
9,subj10,7,1,8,0.125,11,16,27,0.5925925925925926,0.46759259259259256
10,subj11,14,17,31,0.5483870967741935,6,16,22,0.7272727272727273,0.1788856304985338
11,subj12,10,5,15,0.3333333333333333,18,18,36,0.5,0.16666666666666669
12,subj13,9,17,26,0.6538461538461539,14,23,37,0.6216216216216216,-0.032224532224532254
13,subj14,1,4,5,0.8,0,3,3,1.0,0.19999999999999996
14,subj15,10,8,18,0.4444444444444444,16,7,23,0.30434782608695654,-0.14009661835748788
15,subj16,9,3,12,0.25,4,3,7,0.42857142857142855,0.17857142857142855
16,subj17,10,12,22,0.5454545454545454,5,20,25,0.8,0.25454545454545463
17,subj18,7,6,13,0.46153846153846156,7,10,17,0.5882352941176471,0.12669683257918551
18,subj19,9,21,30,0.7,7,29,36,0.8055555555555556,0.10555555555555562
19,subj20,8,14,22,0.6363636363636364,4,27,31,0.8709677419354839,0.23460410557184752
20,subj21,5,5,10,0.5,10,20,30,0.6666666666666666,0.16666666666666663
21,subj22,8,12,20,0.6,5,17,22,0.7727272727272727,0.17272727272727273
22,subj23,12,4,16,0.25,10,10,20,0.5,0.25
23,subj24,6,6,12,0.5,19,10,29,0.3448275862068966,-0.15517241379310343
24,subj25,2,3,5,0.6,10,13,23,0.5652173913043478,-0.034782608695652195
