,,,,,
,,,,,
"Summary Report 5: Proportion of deliveries by method of delivery and age of mother, 2024-25 (HES)",,,,,
,,,,,
,Percentage of Deliveries by Age Group,,,,
Method of delivery,Total deliveries,Under 20 years,20-29 years,30-39 years,40 years and over
Spontaneous ,44,58,48,42,35
Instrumental,11,14,12,10,6
Caesarean,45,29,39,48,59
"Source: HES, NHS England",,,,,
"Where the method of delivery was unknown, those deliveries have been excluded from this analysis.",,,,,
,,,,,
"NHS England, NHS Maternity Statistics, 2024-25",,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,
,,,,,
Return to Contents,,,,,
